"","trial","ppt","A","B","y"
"1",1,1,"A1","B1",1
"2",2,1,"A1","B1",1
"3",3,1,"A1","B1",1
"4",4,1,"A1","B1",1
"5",5,1,"A1","B1",1
"6",6,1,"A1","B1",1
"7",7,1,"A1","B1",1
"8",8,1,"A1","B1",1
"9",9,1,"A1","B1",1
"10",10,1,"A1","B1",1
"11",11,1,"A1","B1",1
"12",12,1,"A1","B1",1
"13",1,2,"A1","B1",1
"14",2,2,"A1","B1",1
"15",3,2,"A1","B1",1
"16",4,2,"A1","B1",1
"17",5,2,"A1","B1",0
"18",6,2,"A1","B1",1
"19",7,2,"A1","B1",1
"20",8,2,"A1","B1",1
"21",9,2,"A1","B1",1
"22",10,2,"A1","B1",1
"23",11,2,"A1","B1",1
"24",12,2,"A1","B1",1
"25",1,3,"A1","B1",1
"26",2,3,"A1","B1",0
"27",3,3,"A1","B1",1
"28",4,3,"A1","B1",0
"29",5,3,"A1","B1",1
"30",6,3,"A1","B1",1
"31",7,3,"A1","B1",1
"32",8,3,"A1","B1",1
"33",9,3,"A1","B1",1
"34",10,3,"A1","B1",1
"35",11,3,"A1","B1",1
"36",12,3,"A1","B1",1
"37",1,4,"A1","B1",1
"38",2,4,"A1","B1",0
"39",3,4,"A1","B1",0
"40",4,4,"A1","B1",1
"41",5,4,"A1","B1",0
"42",6,4,"A1","B1",1
"43",7,4,"A1","B1",1
"44",8,4,"A1","B1",1
"45",9,4,"A1","B1",0
"46",10,4,"A1","B1",1
"47",11,4,"A1","B1",0
"48",12,4,"A1","B1",1
"49",1,5,"A1","B1",1
"50",2,5,"A1","B1",1
"51",3,5,"A1","B1",0
"52",4,5,"A1","B1",1
"53",5,5,"A1","B1",1
"54",6,5,"A1","B1",1
"55",7,5,"A1","B1",1
"56",8,5,"A1","B1",0
"57",9,5,"A1","B1",1
"58",10,5,"A1","B1",1
"59",11,5,"A1","B1",1
"60",12,5,"A1","B1",1
"61",1,6,"A1","B1",0
"62",2,6,"A1","B1",1
"63",3,6,"A1","B1",1
"64",4,6,"A1","B1",1
"65",5,6,"A1","B1",1
"66",6,6,"A1","B1",1
"67",7,6,"A1","B1",1
"68",8,6,"A1","B1",1
"69",9,6,"A1","B1",0
"70",10,6,"A1","B1",1
"71",11,6,"A1","B1",1
"72",12,6,"A1","B1",1
"73",1,7,"A1","B1",1
"74",2,7,"A1","B1",1
"75",3,7,"A1","B1",1
"76",4,7,"A1","B1",0
"77",5,7,"A1","B1",0
"78",6,7,"A1","B1",1
"79",7,7,"A1","B1",0
"80",8,7,"A1","B1",1
"81",9,7,"A1","B1",1
"82",10,7,"A1","B1",1
"83",11,7,"A1","B1",0
"84",12,7,"A1","B1",0
"85",1,8,"A1","B1",1
"86",2,8,"A1","B1",1
"87",3,8,"A1","B1",0
"88",4,8,"A1","B1",1
"89",5,8,"A1","B1",1
"90",6,8,"A1","B1",1
"91",7,8,"A1","B1",1
"92",8,8,"A1","B1",1
"93",9,8,"A1","B1",0
"94",10,8,"A1","B1",1
"95",11,8,"A1","B1",1
"96",12,8,"A1","B1",1
"97",1,9,"A1","B1",1
"98",2,9,"A1","B1",1
"99",3,9,"A1","B1",0
"100",4,9,"A1","B1",1
"101",5,9,"A1","B1",0
"102",6,9,"A1","B1",1
"103",7,9,"A1","B1",1
"104",8,9,"A1","B1",1
"105",9,9,"A1","B1",1
"106",10,9,"A1","B1",0
"107",11,9,"A1","B1",1
"108",12,9,"A1","B1",0
"109",1,10,"A1","B1",1
"110",2,10,"A1","B1",0
"111",3,10,"A1","B1",0
"112",4,10,"A1","B1",1
"113",5,10,"A1","B1",1
"114",6,10,"A1","B1",1
"115",7,10,"A1","B1",1
"116",8,10,"A1","B1",1
"117",9,10,"A1","B1",1
"118",10,10,"A1","B1",1
"119",11,10,"A1","B1",1
"120",12,10,"A1","B1",1
"121",1,11,"A1","B1",1
"122",2,11,"A1","B1",0
"123",3,11,"A1","B1",0
"124",4,11,"A1","B1",1
"125",5,11,"A1","B1",1
"126",6,11,"A1","B1",0
"127",7,11,"A1","B1",1
"128",8,11,"A1","B1",1
"129",9,11,"A1","B1",1
"130",10,11,"A1","B1",0
"131",11,11,"A1","B1",0
"132",12,11,"A1","B1",0
"133",1,12,"A1","B1",1
"134",2,12,"A1","B1",1
"135",3,12,"A1","B1",1
"136",4,12,"A1","B1",1
"137",5,12,"A1","B1",1
"138",6,12,"A1","B1",1
"139",7,12,"A1","B1",1
"140",8,12,"A1","B1",1
"141",9,12,"A1","B1",1
"142",10,12,"A1","B1",1
"143",11,12,"A1","B1",1
"144",12,12,"A1","B1",1
"145",1,13,"A1","B1",1
"146",2,13,"A1","B1",1
"147",3,13,"A1","B1",1
"148",4,13,"A1","B1",1
"149",5,13,"A1","B1",1
"150",6,13,"A1","B1",1
"151",7,13,"A1","B1",1
"152",8,13,"A1","B1",0
"153",9,13,"A1","B1",1
"154",10,13,"A1","B1",1
"155",11,13,"A1","B1",1
"156",12,13,"A1","B1",0
"157",1,14,"A1","B1",1
"158",2,14,"A1","B1",1
"159",3,14,"A1","B1",1
"160",4,14,"A1","B1",1
"161",5,14,"A1","B1",1
"162",6,14,"A1","B1",1
"163",7,14,"A1","B1",1
"164",8,14,"A1","B1",1
"165",9,14,"A1","B1",1
"166",10,14,"A1","B1",1
"167",11,14,"A1","B1",1
"168",12,14,"A1","B1",1
"169",1,15,"A1","B1",1
"170",2,15,"A1","B1",1
"171",3,15,"A1","B1",1
"172",4,15,"A1","B1",0
"173",5,15,"A1","B1",1
"174",6,15,"A1","B1",1
"175",7,15,"A1","B1",1
"176",8,15,"A1","B1",1
"177",9,15,"A1","B1",0
"178",10,15,"A1","B1",1
"179",11,15,"A1","B1",1
"180",12,15,"A1","B1",1
"181",1,16,"A1","B1",0
"182",2,16,"A1","B1",1
"183",3,16,"A1","B1",1
"184",4,16,"A1","B1",1
"185",5,16,"A1","B1",1
"186",6,16,"A1","B1",0
"187",7,16,"A1","B1",1
"188",8,16,"A1","B1",1
"189",9,16,"A1","B1",1
"190",10,16,"A1","B1",0
"191",11,16,"A1","B1",1
"192",12,16,"A1","B1",1
"193",1,17,"A1","B1",0
"194",2,17,"A1","B1",0
"195",3,17,"A1","B1",0
"196",4,17,"A1","B1",0
"197",5,17,"A1","B1",0
"198",6,17,"A1","B1",0
"199",7,17,"A1","B1",0
"200",8,17,"A1","B1",0
"201",9,17,"A1","B1",1
"202",10,17,"A1","B1",0
"203",11,17,"A1","B1",0
"204",12,17,"A1","B1",1
"205",1,18,"A1","B1",1
"206",2,18,"A1","B1",1
"207",3,18,"A1","B1",0
"208",4,18,"A1","B1",0
"209",5,18,"A1","B1",0
"210",6,18,"A1","B1",1
"211",7,18,"A1","B1",0
"212",8,18,"A1","B1",0
"213",9,18,"A1","B1",0
"214",10,18,"A1","B1",0
"215",11,18,"A1","B1",0
"216",12,18,"A1","B1",1
"217",1,19,"A1","B1",1
"218",2,19,"A1","B1",1
"219",3,19,"A1","B1",1
"220",4,19,"A1","B1",1
"221",5,19,"A1","B1",1
"222",6,19,"A1","B1",1
"223",7,19,"A1","B1",1
"224",8,19,"A1","B1",1
"225",9,19,"A1","B1",1
"226",10,19,"A1","B1",1
"227",11,19,"A1","B1",1
"228",12,19,"A1","B1",0
